AGE,MALE,FEMALE
14,0.00047,0.00047
15,0.00061,0.00061
16,0.00081,0.00081
17,0.00105538,0.00105538
18,0.000996825,0.000996825
19,0.000941402,0.000941402
20,0.000889456,0.000889456
21,0.000841331,0.000841331
22,0.000797401,0.000797401
23,0.000758011,0.000758011
24,0.00072365,0.00072365
25,0.000694809,0.000694809
26,0.000672007,0.000672007
27,0.000655825,0.000655825
28,0.0006469,0.0006469
29,0.00064593,0.00064593
30,0.000653676,0.000653676
31,0.000670989,0.000670989
32,0.00069884,0.00069884
33,0.00073812,0.00073812
34,0.000790049,0.000790049
35,0.00085577,0.00085577
36,0.000936614,0.000936614
37,0.001034109,0.001034109
38,0.00114971,0.00114971
39,0.001285288,0.001285288
40,0.001442685,0.001442685
41,0.001623937,0.001623937
42,0.001831455,0.001831455
43,0.002067632,0.002067632
44,0.002335236,0.002335236
45,0.002637228,0.002637228
46,0.002976902,0.002976902
47,0.003357827,0.003357827
48,0.003783906,0.003783906
49,0.004259302,0.004259302
50,0.004788818,0.004788818
51,0.005377382,0.005377382
52,0.006030632,0.006030632
53,0.006754575,0.006754575
54,0.007555715,0.007555715
55,0.00844129,0.00844129
56,0.00941901,0.00941901
57,0.010497428,0.010497428
58,0.011685652,0.011685652
59,0.012993747,0.012993747
60,0.014432459,0.014432459
61,0.01601355,0.01601355
62,0.01774971,0.01774971
63,0.019654657,0.019654657
64,0.021743093,0.021743093
65,0.024030998,0.024030998
66,0.026535509,0.026535509
67,0.029274907,0.029274907
68,0.0322689,0.0322689
69,0.03553847,0.03553847
70,0.03910594,0.03910594
71,0.04299507,0.04299507
72,0.04723096,0.04723096
73,0.05184008,0.05184008
74,0.05685022,0.05685022
75,0.06229041,0.06229041
76,0.06819083,0.06819083
77,0.07458263,0.07458263
78,0.08149779,0.08149779
79,0.08896883,0.08896883
80,0.09702855,0.09702855
81,0.10570968,0.10570968
82,0.11504443,0.11504443
83,0.12506403,0.12506403
84,0.1357982,0.1357982
85,0.14727448,0.14727448
86,0.15951762,0.15951762
87,0.17254883,0.17254883
88,0.18638498,0.18638498
89,0.20103786,0.20103786
90,0.21651335,0.21651335
91,0.23281066,0.23281066
92,0.2499216,0.2499216
93,0.2678299,0.2678299
94,0.28651074,0.28651074
95,0.30593028,0.30593028
96,0.3260455,0.3260455
97,0.34680421,0.34680421
98,0.36814521,0.36814521
99,0.38999883,0.38999883